iteration,timestamp,nvehicles,ntripupdates,what,wall,cpu
15,1567012053,27,23,"writing ETAs to protobuf feed",214.562,235.685
16,1567012083,27,22,"loading vehicle positions",9.44957,0.61
16,1567012083,27,22,"updating vehicle information",0.077747,0.078
16,1567012083,27,22,"updating vehicle states",222.766,493.161
16,1567012083,27,22,"updating network state",0.386849,0.998
16,1567012083,27,22,"predicting ETAs",198.365,466.734
16,1567012083,27,22,"writing ETAs to protobuf feed",214,235.261
17,1567012113,28,23,"loading vehicle positions",9.57489,0.514
17,1567012113,28,23,"updating vehicle information",0.082866,0.083
17,1567012113,28,23,"updating vehicle states",199.754,558.426
17,1567012113,28,23,"updating network state",0.409301,0.694
17,1567012113,28,23,"predicting ETAs",203.311,447.513
17,1567012113,28,23,"writing ETAs to protobuf feed",214.305,236.442
18,1567012144,28,23,"loading vehicle positions",9.45469,0.551
18,1567012144,28,23,"updating vehicle information",0.111981,0.112
18,1567012144,28,23,"updating vehicle states",154.309,433.153
18,1567012144,28,23,"updating network state",0.358679,1.075
18,1567012144,28,23,"predicting ETAs",398.435,703.177
18,1567012144,28,23,"writing ETAs to protobuf feed",214.384,236.356
19,1567012173,31,26,"loading vehicle positions",9.53213,0.645
19,1567012173,31,26,"updating vehicle information",0.104253,0.105
19,1567012173,31,26,"updating vehicle states",242.575,501.493
19,1567012173,31,26,"updating network state",0.359119,1.067
19,1567012173,31,26,"predicting ETAs",258.478,544.471
19,1567012173,31,26,"writing ETAs to protobuf feed",214.222,236.914
20,1567012204,34,28,"loading vehicle positions",9.77603,0.647
20,1567012204,34,28,"updating vehicle information",0.105076,0.105
20,1567012204,34,28,"updating vehicle states",162.637,407.634
20,1567012204,34,28,"updating network state",0.361771,1.046
20,1567012204,34,28,"predicting ETAs",197.606,424.431
20,1567012204,34,28,"writing ETAs to protobuf feed",215.938,237.802
21,1567012234,34,28,"loading vehicle positions",9.43244,0.584
21,1567012234,34,28,"updating vehicle information",0.163064,0.111
21,1567012234,34,28,"updating vehicle states",186.244,459.79
21,1567012234,34,28,"updating network state",0.362227,1.087
21,1567012234,34,28,"predicting ETAs",225.724,456.568
21,1567012234,34,28,"writing ETAs to protobuf feed",215.092,237.664
22,1567012264,36,29,"loading vehicle positions",9.62419,0.554
22,1567012264,36,29,"updating vehicle information",0.124427,0.111
22,1567012264,36,29,"updating vehicle states",272.43,655.698
22,1567012264,36,29,"updating network state",0.370283,1.089
22,1567012264,36,29,"predicting ETAs",388.006,624.371
22,1567012264,36,29,"writing ETAs to protobuf feed",215.505,235.914
23,1567012294,37,31,"loading vehicle positions",9.50146,0.63
23,1567012294,37,31,"updating vehicle information",0.136385,0.136
23,1567012294,37,31,"updating vehicle states",267.274,622.366
23,1567012294,37,31,"updating network state",0.398557,0.778
23,1567012294,37,31,"predicting ETAs",211.095,501.543
23,1567012294,37,31,"writing ETAs to protobuf feed",215.185,235.086
24,1567012324,38,32,"loading vehicle positions",9.38474,0.595
24,1567012324,38,32,"updating vehicle information",0.137898,0.138
